series,model_family,model,MAE,RMSE,MAPE,sMAPE,AIC,BIC
commercial,Baseline,Seasonal Naive,3.3948882525000013,3.7648964533062728,2.7776681062193105,2.8256992255750903,,
commercial,Exponential Smoothing,Holt-Winters Additive,3.4439845462866177,4.048075605157993,2.740305249509947,2.7915058032898132,,
commercial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",3.58434694535393,4.1118752133720795,2.882971053934393,2.9369787323299894,1027.4539683923035,1048.003668497192
commercial,Machine Learning,Gradient Boosting,4.023285138060953,5.14318862147014,3.183773801005351,3.2512444893270356,,
commercial,Machine Learning,MLP Neural Network Tuned,4.20007020835384,5.357595837693869,3.306718141117032,3.3933059033778545,,
commercial,Machine Learning,Gradient Boosting Tuned,4.484371537486796,5.606727778131176,3.5131512876000777,3.6059250001654575,,
commercial,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",5.379110281190017,5.962878954487778,4.337403521638464,4.454665192814462,1028.8610651347371,1049.4371389084636
commercial,Machine Learning,Random Forest Tuned,5.335175064210529,6.44778710779696,4.190888161905361,4.312610220276617,,
commercial,Machine Learning,Random Forest,5.262091689987202,6.467562962284556,4.12201008729772,4.243699501238451,,
commercial,Machine Learning,Decision Tree,5.6451521548789865,6.4924135068525946,4.519022453942987,4.614898904868803,,
commercial,Machine Learning,MLP Neural Network,5.1790147992423465,6.5961562794533695,4.144520737531356,4.141254419225918,,
commercial,Baseline,12-Month Rolling Average,8.752445541249998,11.391688475308028,6.760967064483321,7.052335564072791,,
commercial,Box-Jenkins,"ARIMA(2,1,1)",8.973068226458476,12.0845356641037,6.8313801485424515,7.236884735331081,1632.563137269364,1650.1904019650228
commercial,Box-Jenkins,AR(2),12.914674874750375,16.107332871923116,9.931094869690343,10.713800625211796,1638.762200856017,1652.8799172060626
commercial,Box-Jenkins,MA(2),12.81685895317139,16.141514504397904,9.836635317498592,10.620569942895488,1660.9225398811602,1675.0243516376875
commercial,Box-Jenkins,MA(1),12.846542564901595,16.1637888582129,9.861335486028471,10.64675640099471,1717.6757599830944,1728.2640472456287
commercial,Box-Jenkins,AR(1),12.706033715367383,16.18320634731906,9.728402438648105,10.515715254188795,1700.7608425863468,1711.3610110525294
commercial,Box-Jenkins,"ARMA(1,1)",12.838222629393078,16.228270602173243,9.845013030142468,10.638232120484629,1662.8253689565927,1676.9430853066383
commercial,Exponential Smoothing,Holt Linear Trend,13.818708356820247,17.151462672335942,10.626221431427263,11.520886055216405,,
commercial,Exponential Smoothing,Simple Exponential Smoothing,14.326575266905884,17.587646821866098,11.037392167262073,11.983053511022558,,
commercial,Baseline,Naive,14.326575405000007,17.587646934355046,11.03739228000493,11.983053637092505,,
commercial,Box-Jenkins,"ARIMA(1,1,1)",16.86806007550893,19.70686815218173,13.113780281017348,14.329443318435503,1707.5689224286948,1721.670734185222
industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",1.4577983000811763,1.6615325364796396,1.6610009435763602,1.6781747508626075,806.4970597173863,827.0467598222747
industrial,Baseline,Seasonal Naive,1.510115203749999,1.777528661743272,1.7366683089384038,1.7548139919955155,,
industrial,Machine Learning,Gradient Boosting,1.6783026226023374,2.004926039322155,1.9242828610754936,1.9431392890750627,,
industrial,Exponential Smoothing,Holt-Winters Additive,1.824640475492935,2.1159804452335638,2.0680356331320744,2.096760949544468,,
industrial,Machine Learning,Random Forest Tuned,2.076420138245506,2.381065424711633,2.3581134207337016,2.39462717414144,,
industrial,Machine Learning,Gradient Boosting Tuned,2.1189617987578333,2.388945355064542,2.414021388203512,2.4511491737299,,
industrial,Machine Learning,Random Forest,2.0962874758575807,2.408799270940581,2.37920313093578,2.4165413290816495,,
industrial,Machine Learning,Decision Tree,2.3487121563517017,2.5592446109720197,2.69887385683266,2.742417541000344,,
industrial,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",2.760075214761569,2.97398717365232,3.1607954179557605,3.2192443446392836,801.4511270275315,822.0272008012581
industrial,Baseline,12-Month Rolling Average,3.70965168111111,4.865733019298671,4.175594946678373,4.277862725945325,,
