date,series,model_family,model,forecast,lower_95,upper_95,interval_method,forecast_horizon_month
2026-03-01,total,Baseline,Seasonal Naive,307.24125778,286.8569296569282,327.62558590307185,Approximate 95% interval using test RMSE,1
2026-04-01,total,Baseline,Seasonal Naive,294.84637543,274.4620473069282,315.23070355307186,Approximate 95% interval using test RMSE,2
2026-05-01,total,Baseline,Seasonal Naive,312.48873467,292.10440654692815,332.8730627930718,Approximate 95% interval using test RMSE,3
2026-06-01,total,Baseline,Seasonal Naive,357.1003815,336.7160533769282,377.48470962307186,Approximate 95% interval using test RMSE,4
2026-07-01,total,Baseline,Seasonal Naive,407.62971481,387.24538668692816,428.01404293307183,Approximate 95% interval using test RMSE,5
2026-08-01,total,Baseline,Seasonal Naive,392.63089766,372.2465695369282,413.01522578307186,Approximate 95% interval using test RMSE,6
2026-09-01,total,Baseline,Seasonal Naive,346.20216892999997,325.81784080692813,366.5864970530718,Approximate 95% interval using test RMSE,7
2026-10-01,total,Baseline,Seasonal Naive,320.58800988,300.2036817569282,340.97233800307185,Approximate 95% interval using test RMSE,8
2026-11-01,total,Baseline,Seasonal Naive,299.02180516,278.63747703692815,319.4061332830718,Approximate 95% interval using test RMSE,9
2026-12-01,total,Baseline,Seasonal Naive,337.71572686,317.3313987369282,358.10005498307186,Approximate 95% interval using test RMSE,10
2027-01-01,total,Baseline,Seasonal Naive,355.94017295,335.55584482692814,376.3245010730718,Approximate 95% interval using test RMSE,11
2027-02-01,total,Baseline,Seasonal Naive,323.03452279000004,302.6501946669282,343.4188509130719,Approximate 95% interval using test RMSE,12
2027-03-01,total,Baseline,Seasonal Naive,307.24125778,286.8569296569282,327.62558590307185,Approximate 95% interval using test RMSE,13
2027-04-01,total,Baseline,Seasonal Naive,294.84637543,274.4620473069282,315.23070355307186,Approximate 95% interval using test RMSE,14
2027-05-01,total,Baseline,Seasonal Naive,312.48873467,292.10440654692815,332.8730627930718,Approximate 95% interval using test RMSE,15
2027-06-01,total,Baseline,Seasonal Naive,357.1003815,336.7160533769282,377.48470962307186,Approximate 95% interval using test RMSE,16
2027-07-01,total,Baseline,Seasonal Naive,407.62971481,387.24538668692816,428.01404293307183,Approximate 95% interval using test RMSE,17
2027-08-01,total,Baseline,Seasonal Naive,392.63089766,372.2465695369282,413.01522578307186,Approximate 95% interval using test RMSE,18
2027-09-01,total,Baseline,Seasonal Naive,346.20216892999997,325.81784080692813,366.5864970530718,Approximate 95% interval using test RMSE,19
2027-10-01,total,Baseline,Seasonal Naive,320.58800988,300.2036817569282,340.97233800307185,Approximate 95% interval using test RMSE,20
2027-11-01,total,Baseline,Seasonal Naive,299.02180516,278.63747703692815,319.4061332830718,Approximate 95% interval using test RMSE,21
2027-12-01,total,Baseline,Seasonal Naive,337.71572686,317.3313987369282,358.10005498307186,Approximate 95% interval using test RMSE,22
2028-01-01,total,Baseline,Seasonal Naive,355.94017295,335.55584482692814,376.3245010730718,Approximate 95% interval using test RMSE,23
2028-02-01,total,Baseline,Seasonal Naive,323.03452279000004,302.6501946669282,343.4188509130719,Approximate 95% interval using test RMSE,24
2028-03-01,total,Baseline,Seasonal Naive,307.24125778,286.8569296569282,327.62558590307185,Approximate 95% interval using test RMSE,25
2028-04-01,total,Baseline,Seasonal Naive,294.84637543,274.4620473069282,315.23070355307186,Approximate 95% interval using test RMSE,26
2028-05-01,total,Baseline,Seasonal Naive,312.48873467,292.10440654692815,332.8730627930718,Approximate 95% interval using test RMSE,27
2028-06-01,total,Baseline,Seasonal Naive,357.1003815,336.7160533769282,377.48470962307186,Approximate 95% interval using test RMSE,28
2028-07-01,total,Baseline,Seasonal Naive,407.62971481,387.24538668692816,428.01404293307183,Approximate 95% interval using test RMSE,29
2028-08-01,total,Baseline,Seasonal Naive,392.63089766,372.2465695369282,413.01522578307186,Approximate 95% interval using test RMSE,30
2028-09-01,total,Baseline,Seasonal Naive,346.20216892999997,325.81784080692813,366.5864970530718,Approximate 95% interval using test RMSE,31
2028-10-01,total,Baseline,Seasonal Naive,320.58800988,300.2036817569282,340.97233800307185,Approximate 95% interval using test RMSE,32
