date,series,actual
2003-01-01,total,304.26259845
2003-02-01,total,282.23957465999996
2003-03-01,total,274.4734193
2003-04-01,total,256.70998509
2003-05-01,total,268.7880908
2003-06-01,total,290.44988234
2003-07-01,total,334.20869307
2003-08-01,total,341.81927853
2003-09-01,total,306.58990447
2003-10-01,total,277.38021575
2003-11-01,total,262.97670136
2003-12-01,total,293.83614216
2004-01-01,total,307.85646486
2004-02-01,total,286.43335171999996
2004-03-01,total,278.18155766
2004-04-01,total,262.85098943
2004-05-01,total,279.03582591
2004-06-01,total,307.77235888999996
2004-07-01,total,333.90704358
2004-08-01,total,330.92652841
2004-09-01,total,308.56583256
2004-10-01,total,281.73672460999995
2004-11-01,total,270.16292777
2004-12-01,total,300.0498776
2005-01-01,total,309.07880862999997
2005-02-01,total,279.51381952
2005-03-01,total,286.79111859000005
2005-04-01,total,264.16793607
2005-05-01,total,273.50025066
2005-06-01,total,319.38092267
2005-07-01,total,355.51413892
2005-08-01,total,362.54368517999995
2005-09-01,total,330.92338387
2005-10-01,total,297.62630857
2005-11-01,total,274.58546698000004
2005-12-01,total,307.34267335
2006-01-01,total,304.86597033
2006-02-01,total,281.04641585
2006-03-01,total,289.9702595
2006-04-01,total,268.20830457
2006-05-01,total,287.19813403
2006-06-01,total,321.83988968
2006-07-01,total,362.38677017
2006-08-01,total,368.63376482
2006-09-01,total,317.28210014
2006-10-01,total,291.18610567999997
2006-11-01,total,277.18196850000004
2006-12-01,total,300.11915674
2007-01-01,total,315.10376002
2007-02-01,total,301.33131465
2007-03-01,total,291.66034841
2007-04-01,total,275.34050697
2007-05-01,total,292.80025887
2007-06-01,total,323.00659103000004
2007-07-01,total,352.64231557
2007-08-01,total,373.36482393999995
2007-09-01,total,337.52456498000004
2007-10-01,total,307.78264949
2007-11-01,total,286.29930566
2007-12-01,total,307.70427238999997
2008-01-01,total,326.21457102
2008-02-01,total,305.09491897
2008-03-01,total,294.62533802
2008-04-01,total,277.96341678000005
2008-05-01,total,288.27605761
2008-06-01,total,328.59249724
2008-07-01,total,360.42656763
2008-08-01,total,351.85642843000005
2008-09-01,total,321.90621066
2008-10-01,total,291.76207433999997
2008-11-01,total,278.33040976
2008-12-01,total,308.91612865
2009-01-01,total,321.62396705
2009-02-01,total,286.25146302999997
2009-03-01,total,283.80782623
2009-04-01,total,265.46364608
2009-05-01,total,275.27597676
2009-06-01,total,305.52046993000005
2009-07-01,total,337.87807153999995
2009-08-01,total,344.84519520000003
2009-09-01,total,310.56330622
2009-10-01,total,287.11630848
2009-11-01,total,268.15785379000005
2009-12-01,total,310.29104959
2010-01-01,total,331.87876296999997
2010-02-01,total,298.45972804
2010-03-01,total,292.51135074999996
2010-04-01,total,267.05212908
2010-05-01,total,283.7292674
2010-06-01,total,330.89320089
2010-07-01,total,369.01771929
2010-08-01,total,371.76931409
2010-09-01,total,327.74233635
2010-10-01,total,287.83979568
2010-11-01,total,274.90006863
2010-12-01,total,319.04769506
2011-01-01,total,334.11565319
2011-02-01,total,296.90349799
2011-03-01,total,292.05185887
2011-04-01,total,275.20387798
2011-05-01,total,287.99274780999997
2011-06-01,total,328.70733187
2011-07-01,total,370.69191322
2011-08-01,total,372.71982806000005
2011-09-01,total,326.24722166
2011-10-01,total,288.13288819
