date,series,model_family,model,forecast,actual
2024-03-01,total,Baseline,Seasonal Naive,306.45394244,297.27827618
2024-04-01,total,Baseline,Seasonal Naive,280.81114791,286.25679709
2024-05-01,total,Baseline,Seasonal Naive,298.70556959000004,313.96145312000004
2024-06-01,total,Baseline,Seasonal Naive,328.79808364999997,355.88196752
2024-07-01,total,Baseline,Seasonal Naive,387.25610720000003,397.87258565999997
2024-08-01,total,Baseline,Seasonal Naive,392.43603404,394.19946181
2024-09-01,total,Baseline,Seasonal Naive,346.47644134999996,343.07070554
2024-10-01,total,Baseline,Seasonal Naive,308.06540868,315.9019817
2024-11-01,total,Baseline,Seasonal Naive,294.24848557,295.79604265999996
2024-12-01,total,Baseline,Seasonal Naive,312.64183476,328.18769582000004
2025-01-01,total,Baseline,Seasonal Naive,343.71652172,361.98107068
2025-02-01,total,Baseline,Seasonal Naive,303.25834281,320.56101322999996
2025-03-01,total,Baseline,Seasonal Naive,297.27827618,307.24125778
2025-04-01,total,Baseline,Seasonal Naive,286.25679709,294.84637543
2025-05-01,total,Baseline,Seasonal Naive,313.96145312000004,312.48873467
2025-06-01,total,Baseline,Seasonal Naive,355.88196752,357.1003815
2025-07-01,total,Baseline,Seasonal Naive,397.87258565999997,407.62971481
2025-08-01,total,Baseline,Seasonal Naive,394.19946181,392.63089766
2025-09-01,total,Baseline,Seasonal Naive,343.07070554,346.20216892999997
2025-10-01,total,Baseline,Seasonal Naive,315.9019817,320.58800988
2025-11-01,total,Baseline,Seasonal Naive,295.79604265999996,299.02180516
2025-12-01,total,Baseline,Seasonal Naive,328.18769582000004,337.71572686
2026-01-01,total,Baseline,Seasonal Naive,361.98107068,355.94017295
2026-02-01,total,Baseline,Seasonal Naive,320.56101322999996,323.03452279000004
2024-03-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",109.35766499955253,102.20304497000001
2024-04-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",96.04338588968211,94.67402447
2024-05-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",103.45920966044973,107.60471543
2024-06-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",128.83598704850928,138.92046023999998
2024-07-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",157.02483100712482,164.83324943
2024-08-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",155.74243776251961,159.09842282
2024-09-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",130.9164668868473,127.34005411
2024-10-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",106.5848023276255,106.08327951
2024-11-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",103.45121868059812,98.78189253
2024-12-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",127.08067488531101,125.50372372
2025-01-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",140.71621537502585,152.32858847
2025-02-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",121.87960929868984,127.51728971
2025-03-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",113.87413610960952,108.96872276
2025-04-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",98.43394620258333,97.30629017
2025-05-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",104.89679392088792,104.85586683
2025-06-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",129.84859754566014,135.82211661
2025-07-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",157.82725557232715,168.01064976
2025-08-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",156.4526149887335,155.20386061
2025-09-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",131.59311875461603,126.77750872
