date,series,model_family,model,actual,forecast,error,absolute_error,percentage_error
2024-03-01,total,Baseline,Seasonal Naive,297.27827618,306.45394244,-9.175666260000014,9.175666260000014,-3.0865579476262206
2024-04-01,total,Baseline,Seasonal Naive,286.25679709,280.81114791,5.445649180000032,5.445649180000032,1.902365021672447
2024-05-01,total,Baseline,Seasonal Naive,313.96145312000004,298.70556959000004,15.255883530000006,15.255883530000006,4.859158147726184
2024-06-01,total,Baseline,Seasonal Naive,355.88196752,328.79808364999997,27.083883870000022,27.083883870000022,7.610355775746899
2024-07-01,total,Baseline,Seasonal Naive,397.87258565999997,387.25610720000003,10.61647845999994,10.61647845999994,2.6683111233685746
2024-08-01,total,Baseline,Seasonal Naive,394.19946181,392.43603404,1.7634277700000212,1.7634277700000212,0.4473440328667863
2024-09-01,total,Baseline,Seasonal Naive,343.07070554,346.47644134999996,-3.4057358099999533,3.4057358099999533,-0.9927212539582062
2024-10-01,total,Baseline,Seasonal Naive,315.9019817,308.06540868,7.836573020000003,7.836573020000003,2.4806976448289886
2024-11-01,total,Baseline,Seasonal Naive,295.79604265999996,294.24848557,1.5475570899999411,1.5475570899999411,0.523183838459518
2024-12-01,total,Baseline,Seasonal Naive,328.18769582000004,312.64183476,15.54586106000005,15.54586106000005,4.736881137837182
2025-01-01,total,Baseline,Seasonal Naive,361.98107068,343.71652172,18.264548960000013,18.264548960000013,5.045719359216525
2025-02-01,total,Baseline,Seasonal Naive,320.56101322999996,303.25834281,17.30267041999997,17.30267041999997,5.397621577763558
2025-03-01,total,Baseline,Seasonal Naive,307.24125778,297.27827618,9.962981600000035,9.962981600000035,3.2427225666202757
2025-04-01,total,Baseline,Seasonal Naive,294.84637543,286.25679709,8.589578340000003,8.589578340000003,2.9132385729595884
2025-05-01,total,Baseline,Seasonal Naive,312.48873467,313.96145312000004,-1.472718450000059,1.472718450000059,-0.4712868934476328
2025-06-01,total,Baseline,Seasonal Naive,357.1003815,355.88196752,1.2184139800000366,1.2184139800000366,0.3411964935131374
2025-07-01,total,Baseline,Seasonal Naive,407.62971481,397.87258565999997,9.757129150000026,9.757129150000026,2.393625586041468
2025-08-01,total,Baseline,Seasonal Naive,392.63089766,394.19946181,-1.568564149999986,1.568564149999986,-0.399500945887934
2025-09-01,total,Baseline,Seasonal Naive,346.20216892999997,343.07070554,3.131463389999965,3.131463389999965,0.9045187093074302
2025-10-01,total,Baseline,Seasonal Naive,320.58800988,315.9019817,4.686028179999994,4.686028179999994,1.461697891244913
2025-11-01,total,Baseline,Seasonal Naive,299.02180516,295.79604265999996,3.2257625000000303,3.2257625000000303,1.0787716629140125
2025-12-01,total,Baseline,Seasonal Naive,337.71572686,328.18769582000004,9.528031039999973,9.528031039999973,2.8213169486032896
2026-01-01,total,Baseline,Seasonal Naive,355.94017295,361.98107068,-6.04089773000004,6.04089773000004,-1.6971665996376937
2026-02-01,total,Baseline,Seasonal Naive,323.03452279000004,320.56101322999996,2.473509560000082,2.473509560000082,0.7657105929845379
2024-03-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",102.20304497000001,109.35766499955253,-7.154620029552518,7.154620029552518,-7.000398111086256
2024-04-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",94.67402447,96.04338588968211,-1.3693614196821073,1.3693614196821073,-1.4463961232745801
2024-05-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",107.60471543,103.45920966044973,4.145505769550269,4.145505769550269,3.8525316971327723
2024-06-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",138.92046023999998,128.83598704850928,10.084473191490702,10.084473191490702,7.25917058874459
2024-07-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",164.83324943,157.02483100712482,7.808418422875178,7.808418422875178,4.7371622229598715
2024-08-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",159.09842282,155.74243776251961,3.355985057480382,3.355985057480382,2.109376697767306
2024-09-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",127.34005411,130.9164668868473,-3.576412776847306,3.576412776847306,-2.808552895507566
2024-10-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",106.08327951,106.5848023276255,-0.5015228176254993,0.5015228176254993,-0.4727633043982421
2024-11-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",98.78189253,103.45121868059812,-4.669326150598124,4.669326150598124,-4.726904932682934
2024-12-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",125.50372372,127.08067488531101,-1.5769511653110158,1.5769511653110158,-1.2564975114437313
2025-01-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",152.32858847,140.71621537502585,11.612373094974146,11.612373094974146,7.623239479607675
2025-02-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",127.51728971,121.87960929868984,5.637680411310157,5.637680411310157,4.421110599300987
2025-03-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",108.96872276,113.87413610960952,-4.905413349609518,4.905413349609518,-4.501670961504732
2025-04-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",97.30629017,98.43394620258333,-1.1276560325833316,1.1276560325833316,-1.1588727004320563
2025-05-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",104.85586683,104.89679392088792,-0.04092709088791935,0.04092709088791935,-0.039031760573085855
2025-06-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",135.82211661,129.84859754566014,5.973519064339854,5.973519064339854,4.398045924650278
2025-07-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",168.01064976,157.82725557232715,10.18339418767286,10.18339418767286,6.061159933742084
2025-08-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",155.20386061,156.4526149887335,-1.2487543787335085,1.2487543787335085,-0.8045897658895282
2025-09-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",126.77750872,131.59311875461603,-4.815610034616029,4.815610034616029,-3.7984734699683638
2025-10-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",107.31318515999999,107.25166820663509,0.06151695336490093,0.06151695336490093,0.05732469246270291
2025-11-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",101.22240743,104.10741314603511,-2.88500571603511,2.88500571603511,-2.8501650862534813
2025-12-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",129.66674412,127.74349827343944,1.9232458465605617,1.9232458465605617,1.4832221319451773
2026-01-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",145.11501144,141.3622623698174,3.7527490701826025,3.7527490701826025,2.5860515965532858
2026-02-01,residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",128.05468195,122.53735477937805,5.517327170621954,5.517327170621954,4.308571218642547
2024-03-01,commercial,Baseline,Seasonal Naive,111.38231368999999,112.64296368,-1.2606499900000045,1.2606499900000045,-1.1318224125857665
2024-04-01,commercial,Baseline,Seasonal Naive,108.97249159,104.09076444,4.881727150000003,4.881727150000003,4.479779326664475
2024-05-01,commercial,Baseline,Seasonal Naive,117.86368825000001,113.24271738,4.620970870000008,4.620970870000008,3.9206060310945747
2024-06-01,commercial,Baseline,Seasonal Naive,127.94905253,120.70658417,7.242468360000004,7.242468360000004,5.660431411402499
2024-07-01,commercial,Baseline,Seasonal Naive,139.55100435999998,136.39420263000002,3.1568017299999553,3.1568017299999553,2.2621132284052563
2024-08-01,commercial,Baseline,Seasonal Naive,140.63226455,138.38957188,2.2426926699999967,2.2426926699999967,1.594721294701641
2024-09-01,commercial,Baseline,Seasonal Naive,127.24828887000001,126.54578749000001,0.7025013800000011,0.7025013800000011,0.5520713765492704
2024-10-01,commercial,Baseline,Seasonal Naive,120.89870457,118.20785264,2.690851930000008,2.690851930000008,2.2257078267054653
2024-11-01,commercial,Baseline,Seasonal Naive,112.09079487,109.7564832,2.334311669999991,2.334311669999991,2.0825186160088034
2024-12-01,commercial,Baseline,Seasonal Naive,117.15194094,111.51182661,5.640114330000003,5.640114330000003,4.814358417577236
2025-01-01,commercial,Baseline,Seasonal Naive,124.44735304,118.23400579,6.213347249999998,6.213347249999998,4.992751632092085
2025-02-01,commercial,Baseline,Seasonal Naive,113.20445431,108.96666608,4.237788230000007,4.237788230000007,3.7434818760710713
2025-03-01,commercial,Baseline,Seasonal Naive,114.42690423,111.38231368999999,3.0445905400000157,3.0445905400000157,2.6607296251590773
2025-04-01,commercial,Baseline,Seasonal Naive,112.43561527,108.97249159,3.4631236799999954,3.4631236799999954,3.080094925156712
2025-05-01,commercial,Baseline,Seasonal Naive,119.94259622000001,117.86368825000001,2.078907970000003,2.078907970000003,1.7332524353456942
2025-06-01,commercial,Baseline,Seasonal Naive,130.58900785,127.94905253,2.6399553199999986,2.6399553199999986,2.021575447630601
2025-07-01,commercial,Baseline,Seasonal Naive,144.36314666,139.55100435999998,4.812142300000033,4.812142300000033,3.3333592480728162
2025-08-01,commercial,Baseline,Seasonal Naive,142.26268351000002,140.63226455,1.6304189600000143,1.6304189600000143,1.1460622840601822
2025-09-01,commercial,Baseline,Seasonal Naive,129.79109404,127.24828887000001,2.54280516999998,2.54280516999998,1.9591522737425413
2025-10-01,commercial,Baseline,Seasonal Naive,124.6800319,120.89870457,3.7813273299999963,3.7813273299999963,3.0328251223362064
2025-11-01,commercial,Baseline,Seasonal Naive,114.82161454,112.09079487,2.7308196700000025,2.7308196700000025,2.3783149896822575
2025-12-01,commercial,Baseline,Seasonal Naive,122.52159204,117.15194094,5.369651099999999,5.369651099999999,4.3826161663382175
2026-01-01,commercial,Baseline,Seasonal Naive,126.11966184,124.44735304,1.6723088000000104,1.6723088000000104,1.3259699364890165
2026-02-01,commercial,Baseline,Seasonal Naive,115.69149597,113.20445431,2.4870416600000027,2.4870416600000027,2.149718645391981
2024-03-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",83.1000825,82.88012315625302,0.21995934374697867,0.21995934374697867,0.26469208829844265
2024-04-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",82.07805685,81.34212272964186,0.735934120358138,0.735934120358138,0.8966271237428034
2024-05-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",87.90110025,85.15896097191174,2.74213927808826,2.74213927808826,3.1195733276253956
2024-06-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",88.44598477,87.17373043990251,1.272254330097482,1.272254330097482,1.4384534621960794
2024-07-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",92.84760751,90.87466331074779,1.9729441992522112,1.9729441992522112,2.1249273429471174
2024-08-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",93.84751156,92.46123844624994,1.3862731137500646,1.3862731137500646,1.4771548980963354
2024-09-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",87.91971262999999,86.92267774920342,0.9970348807965763,0.9970348807965763,1.1340288212638763
2024-10-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",88.35389142,86.28549211253856,2.0683993074614335,2.0683993074614335,2.341039284426159
2024-11-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",84.36899389,82.72678933128226,1.6422045587177365,1.6422045587177365,1.9464550695707443
2024-12-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",84.92723808,82.70889971163648,2.2183383683635185,2.2183383683635185,2.612045815352999
2025-01-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",84.51920513,83.03400172077089,1.4852034092291149,1.4852034092291149,1.757237786305143
2025-02-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",79.22886546,78.61388962155314,0.6149758384468527,0.6149758384468527,0.7762017477800859
2025-03-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",83.21047831,83.44316325252198,-0.2326849425219848,0.2326849425219848,-0.27963418459766426
2025-04-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",84.53589711000001,81.79565808462029,2.740239025379722,2.740239025379722,3.241509369462374
2025-05-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",87.13443661999999,85.71412368749841,1.4203129325015738,1.4203129325015738,1.6300248071788976
2025-06-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",90.0223073,87.68184042354854,2.3404668764514582,2.3404668764514582,2.5998743496451775
2025-07-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",94.65130475,91.45319992089729,3.1981048291027037,3.1981048291027037,3.3788280442089773
2025-08-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",94.53972875,93.0334566140709,1.5062721359290947,1.5062721359290947,1.5932689418987727
2025-09-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",89.0411248,87.49918384291503,1.5419409570849751,1.5419409570849751,1.7317177434004911
2025-10-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",88.00445672000001,86.88072739336138,1.1237293266386246,1.1237293266386246,1.276900475863337
2025-11-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",82.42232752999999,83.28637392070888,-0.8640463907088929,0.8640463907088929,-1.0483159316198614
2025-12-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",84.9067827,83.23452567213161,1.6722570278683833,1.6722570278683833,1.969521132106662
2026-01-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",84.04272160000001,83.61918309885445,0.4235385011455577,0.4235385011455577,0.5039561940430516
2026-02-01,industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",78.653492,79.2213975083069,-0.5679055083068931,0.5679055083068931,-0.72203470420219
2024-03-01,transportation,Machine Learning,MLP Neural Network Tuned,0.59283502,0.5630666907940928,0.029768329205907218,0.029768329205907218,5.021351337494742
2024-04-01,transportation,Machine Learning,MLP Neural Network Tuned,0.53222419,0.5273326283618697,0.004891561638130315,0.004891561638130315,0.9190791643894117
2024-05-01,transportation,Machine Learning,MLP Neural Network Tuned,0.59194918,0.523930160216857,0.06801901978314295,0.06801901978314295,11.49068570094868
2024-06-01,transportation,Machine Learning,MLP Neural Network Tuned,0.5664699799999999,0.5479092182401895,0.018560761759810473,0.018560761759810473,3.276565822572006
2024-07-01,transportation,Machine Learning,MLP Neural Network Tuned,0.64072436,0.5845661707889362,0.05615818921106375,0.05615818921106375,8.764796957472281
2024-08-01,transportation,Machine Learning,MLP Neural Network Tuned,0.62126288,0.571132054917538,0.050130825082461916,0.050130825082461916,8.069180808366005
2024-09-01,transportation,Machine Learning,MLP Neural Network Tuned,0.5626499199999999,0.5963618464486804,-0.033711926448680485,0.033711926448680485,-5.99163445161078
2024-10-01,transportation,Machine Learning,MLP Neural Network Tuned,0.56610619,0.5750853882840664,-0.008979198284066459,0.008979198284066459,-1.586133210107888
2024-11-01,transportation,Machine Learning,MLP Neural Network Tuned,0.55436138,0.561700701656378,-0.007339321656377962,0.007339321656377962,-1.323923693309581
2024-12-01,transportation,Machine Learning,MLP Neural Network Tuned,0.60479308,0.5851752607597723,0.019617819240227652,0.019617819240227652,3.24372415772807
2025-01-01,transportation,Machine Learning,MLP Neural Network Tuned,0.68592404,0.6189449319035316,0.06697910809646834,0.06697910809646834,9.764799626569197
2025-02-01,transportation,Machine Learning,MLP Neural Network Tuned,0.6104037499999999,0.5904479287889154,0.019955821211084523,0.019955821211084523,3.2692822105179604
2025-03-01,transportation,Machine Learning,MLP Neural Network Tuned,0.63515248,0.5893932813497655,0.04575919865023448,0.04575919865023448,7.204443041808556
2025-04-01,transportation,Machine Learning,MLP Neural Network Tuned,0.5685728800000001,0.5605373523307791,0.008035527669220999,0.008035527669220999,1.4132801531478247
2025-05-01,transportation,Machine Learning,MLP Neural Network Tuned,0.55583501,0.5533236937359252,0.0025113162640748588,0.0025113162640748588,0.45180965914235216
2025-06-01,transportation,Machine Learning,MLP Neural Network Tuned,0.6669497400000001,0.5653238104525473,0.10162592954745275,0.10162592954745275,15.237419471436144
